"birth_year","group","DHB","category","sub_category","number","denominator","percent","population","rate"
2010,"DHB","Counties Manukau","agegrp1","40+",344,8805,3.9,18480,18.6
2010,"DHB","Counties Manukau","agegrp1","<20",750,8805,8.5,19610,38.2
2010,"DHB","Hawke's Bay","agegrp1","20-24",520,2342,22.2,4240,122.6
2010,"DHB","Hawke's Bay","agegrp1","25-29",547,2342,23.4,3970,137.8
2010,"DHB","Hawke's Bay","agegrp1","30-34",571,2342,24.4,4400,129.8
2010,"DHB","Hawke's Bay","agegrp1","35-39",376,2342,16.1,5540,67.9
2010,"DHB","Hawke's Bay","agegrp1","40+",91,2342,3.9,5540,16.4
2010,"DHB","Hawke's Bay","agegrp1","<20",237,2342,10.1,5350,44.3
2010,"DHB","Hutt Valley","agegrp1","20-24",427,2158,19.8,4470,95.5
2010,"DHB","Hutt Valley","agegrp1","25-29",538,2158,24.9,4440,121.2
2010,"DHB","Hutt Valley","agegrp1","30-34",602,2158,27.9,4710,127.8
2010,"DHB","Hutt Valley","agegrp1","35-39",346,2158,16,5510,62.8
2010,"DHB","Hutt Valley","agegrp1","40+",85,2158,3.9,5560,15.3
2010,"DHB","Hutt Valley","agegrp1","<20",160,2158,7.4,5050,31.7
2010,"DHB","Lakes","agegrp1","20-24",417,1615,25.8,3060,136.3
2010,"DHB","Lakes","agegrp1","25-29",380,1615,23.5,2920,130.1
2010,"DHB","Lakes","agegrp1","30-34",364,1615,22.5,3190,114.1
2010,"DHB","Lakes","agegrp1","35-39",225,1615,13.9,3620,62.2
2010,"DHB","Lakes","agegrp1","40+",59,1615,3.7,3770,15.6
2010,"DHB","Lakes","agegrp1","<20",170,1615,10.5,3550,47.9
2010,"DHB","MidCentral","agegrp1","20-24",563,2352,23.9,6170,91.2
2010,"DHB","MidCentral","agegrp1","25-29",631,2352,26.8,5020,125.7
2010,"DHB","MidCentral","agegrp1","30-34",548,2352,23.3,4760,115.1
2010,"DHB","MidCentral","agegrp1","35-39",318,2352,13.5,5530,57.5
2010,"DHB","MidCentral","agegrp1","40+",72,2352,3.1,5740,12.5
2010,"DHB","MidCentral","agegrp1","<20",220,2352,9.4,6410,34.3
2010,"DHB","Nelson Marlborough","agegrp1","20-24",292,1706,17.1,3240,90.1
2010,"DHB","Nelson Marlborough","agegrp1","25-29",450,1706,26.4,3340,134.7
2010,"DHB","Nelson Marlborough","agegrp1","30-34",476,1706,27.9,3730,127.6
2010,"DHB","Nelson Marlborough","agegrp1","35-39",313,1706,18.3,4880,64.1
2010,"DHB","Nelson Marlborough","agegrp1","40+",71,1706,4.2,5300,13.4
2010,"DHB","Nelson Marlborough","agegrp1","<20",104,1706,6.1,4060,25.6
2010,"DHB","Northland","agegrp1","20-24",647,2479,26.1,4070,159
2010,"DHB","Northland","agegrp1","25-29",592,2479,23.9,3700,160
2010,"DHB","Northland","agegrp1","30-34",549,2479,22.1,4040,135.9
2010,"DHB","Northland","agegrp1","35-39",323,2479,13,5160,62.6
2010,"DHB","Northland","agegrp1","40+",89,2479,3.6,5680,15.7
2010,"DHB","Northland","agegrp1","<20",279,2479,11.3,5510,50.6
2010,"DHB","South Canterbury","agegrp1","20-24",129,670,19.3,1270,101.6
2010,"DHB","South Canterbury","agegrp1","25-29",175,670,26.1,1260,138.9
2010,"DHB","South Canterbury","agegrp1","30-34",190,670,28.4,1400,135.7
2010,"DHB","South Canterbury","agegrp1","35-39",113,670,16.9,1830,61.7
2010,"DHB","South Canterbury","agegrp1","40+",15,670,2.2,2000,7.5
2010,"DHB","South Canterbury","agegrp1","<20",48,670,7.2,1740,27.6
2010,"DHB","Southern","agegrp1","20-24",648,3689,17.6,12030,53.9
2010,"DHB","Southern","agegrp1","25-29",1009,3689,27.4,9110,110.8
2010,"DHB","Southern","agegrp1","30-34",1084,3689,29.4,9120,118.9
2010,"DHB","Southern","agegrp1","35-39",619,3689,16.8,10340,59.9
2010,"DHB","Southern","agegrp1","40+",130,3689,3.5,10630,12.2
2010,"DHB","Southern","agegrp1","<20",199,3689,5.4,11570,17.2
2010,"DHB","Tairawhiti","agegrp1","20-24",201,765,26.3,1450,138.6
2010,"DHB","Tairawhiti","agegrp1","25-29",184,765,24.1,1310,140.5
2010,"DHB","Tairawhiti","agegrp1","30-34",164,765,21.4,1350,121.5
2010,"DHB","Tairawhiti","agegrp1","35-39",101,765,13.2,1580,63.9
2010,"DHB","Tairawhiti","agegrp1","40+",31,765,4.1,1650,18.8
2010,"DHB","Tairawhiti","agegrp1","<20",84,765,11,1750,48
2010,"DHB","Taranaki","agegrp1","20-24",372,1592,23.4,3210,115.9
2010,"DHB","Taranaki","agegrp1","25-29",403,1592,25.3,3030,133
2010,"DHB","Taranaki","agegrp1","30-34",405,1592,25.4,3250,124.6
2010,"DHB","Taranaki","agegrp1","35-39",222,1592,13.9,3910,56.8
2010,"DHB","Taranaki","agegrp1","40+",55,1592,3.5,3970,13.9
2010,"DHB","Taranaki","agegrp1","<20",135,1592,8.5,3620,37.3
2010,"DHB","Unknown","agegrp1","20-24",59,386,NA,NA,NA
2010,"DHB","Unknown","agegrp1","25-29",97,386,NA,NA,NA
2010,"DHB","Unknown","agegrp1","30-34",99,386,NA,NA,NA
2010,"DHB","Unknown","agegrp1","35-39",71,386,NA,NA,NA
2010,"DHB","Unknown","agegrp1","40+",32,386,NA,NA,NA
2010,"DHB","Unknown","agegrp1","<20",28,386,NA,NA,NA
2010,"DHB","Waikato","agegrp1","20-24",1198,5638,21.2,12960,92.4
2010,"DHB","Waikato","agegrp1","25-29",1529,5638,27.1,11140,137.3
2010,"DHB","Waikato","agegrp1","30-34",1453,5638,25.8,11150,130.3
2010,"DHB","Waikato","agegrp1","35-39",760,5638,13.5,12700,59.8
2010,"DHB","Waikato","agegrp1","40+",157,5638,2.8,13150,11.9
2010,"DHB","Waikato","agegrp1","<20",541,5638,9.6,13440,40.3
2010,"DHB","Wairarapa","agegrp1","20-24",126,542,23.2,940,134
2010,"DHB","Wairarapa","agegrp1","25-29",134,542,24.7,920,145.7
2010,"DHB","Wairarapa","agegrp1","30-34",123,542,22.7,1020,120.6
2010,"DHB","Wairarapa","agegrp1","35-39",90,542,16.6,1350,66.7
2010,"DHB","Wairarapa","agegrp1","40+",20,542,3.7,1480,13.5
2010,"DHB","Wairarapa","agegrp1","<20",49,542,9,1330,36.8
2010,"DHB","Waitemata","agegrp1","20-24",1161,7944,14.6,17040,68.1
2010,"DHB","Waitemata","agegrp1","25-29",1958,7944,24.6,17860,109.6
2010,"DHB","Waitemata","agegrp1","30-34",2457,7944,30.9,17820,137.9
2010,"DHB","Waitemata","agegrp1","35-39",1563,7944,19.7,20950,74.6
2010,"DHB","Waitemata","agegrp1","40+",404,7944,5.1,21920,18.4
2010,"DHB","Waitemata","agegrp1","<20",401,7944,5,19490,20.6
2010,"DHB","West Coast","agegrp1","20-24",89,409,21.8,830,107.2
2010,"DHB","West Coast","agegrp1","25-29",108,409,26.4,800,135
2010,"DHB","West Coast","agegrp1","30-34",111,409,27.1,930,119.4
2010,"DHB","West Coast","agegrp1","35-39",45,409,11,1130,39.8
2010,"DHB","West Coast","agegrp1","40+",23,409,5.6,1260,18.3
2010,"DHB","West Coast","agegrp1","<20",33,409,8.1,1040,31.7
2010,"DHB","Whanganui","agegrp1","20-24",248,896,27.7,1760,140.9
2010,"DHB","Whanganui","agegrp1","25-29",226,896,25.2,1580,143
2010,"DHB","Whanganui","agegrp1","30-34",183,896,20.4,1610,113.7
2010,"DHB","Whanganui","agegrp1","35-39",103,896,11.5,1970,52.3
2010,"DHB","Whanganui","agegrp1","40+",35,896,3.9,2160,16.2
2010,"DHB","Whanganui","agegrp1","<20",101,896,11.3,2200,45.9
2011,"DHB","Auckland","agegrp1","20-24",808,6574,12.3,20700,39
2011,"DHB","Auckland","agegrp1","25-29",1484,6574,22.6,21010,70.6
2011,"DHB","Auckland","agegrp1","30-34",2204,6574,33.5,18740,117.6
2011,"DHB","Auckland","agegrp1","35-39",1493,6574,22.7,17820,83.8
2011,"DHB","Auckland","agegrp1","40+",354,6574,5.4,17370,20.4
2011,"DHB","Auckland","agegrp1","<20",231,6574,3.5,15830,14.6
2011,"DHB","Bay of Plenty","agegrp1","20-24",616,2866,21.5,5660,108.8
2011,"DHB","Bay of Plenty","agegrp1","25-29",746,2866,26,5400,138.1
2011,"DHB","Bay of Plenty","agegrp1","30-34",706,2866,24.6,5770,122.4
2011,"DHB","Bay of Plenty","agegrp1","35-39",433,2866,15.1,7030,61.6
2011,"DHB","Bay of Plenty","agegrp1","40+",97,2866,3.4,7820,12.4
2011,"DHB","Bay of Plenty","agegrp1","<20",268,2866,9.4,6790,39.5
2011,"DHB","Canterbury","agegrp1","20-24",943,6077,15.5,17140,55
2011,"DHB","Canterbury","agegrp1","25-29",1518,6077,25,15390,98.6
2011,"DHB","Canterbury","agegrp1","30-34",1887,6077,31.1,15520,121.6
2011,"DHB","Canterbury","agegrp1","35-39",1197,6077,19.7,17760,67.4
2011,"DHB","Canterbury","agegrp1","40+",242,6077,4,19170,12.6
2011,"DHB","Canterbury","agegrp1","<20",290,6077,4.8,16340,17.7
2011,"DHB","Capital & Coast","agegrp1","20-24",454,3881,11.7,12910,35.2
2011,"DHB","Capital & Coast","agegrp1","25-29",811,3881,20.9,11320,71.6
2011,"DHB","Capital & Coast","agegrp1","30-34",1306,3881,33.7,10910,119.7
2011,"DHB","Capital & Coast","agegrp1","35-39",931,3881,24,11530,80.7
2011,"DHB","Capital & Coast","agegrp1","40+",206,3881,5.3,11630,17.7
2011,"DHB","Capital & Coast","agegrp1","<20",173,3881,4.5,10680,16.2
2011,"DHB","Counties Manukau","agegrp1","20-24",2014,8769,23,17490,115.2
2011,"DHB","Counties Manukau","agegrp1","25-29",2351,8769,26.8,16840,139.6
2011,"DHB","Counties Manukau","agegrp1","30-34",2096,8769,23.9,16280,128.7
2011,"DHB","Counties Manukau","agegrp1","35-39",1276,8769,14.6,17410,73.3
2011,"DHB","Counties Manukau","agegrp1","40+",308,8769,3.5,18690,16.5
2011,"DHB","Counties Manukau","agegrp1","<20",724,8769,8.3,19650,36.8
2011,"DHB","Hawke's Bay","agegrp1","20-24",538,2258,23.8,4450,120.9
2011,"DHB","Hawke's Bay","agegrp1","25-29",540,2258,23.9,3910,138.1
2011,"DHB","Hawke's Bay","agegrp1","30-34",545,2258,24.1,4350,125.3
2011,"DHB","Hawke's Bay","agegrp1","35-39",361,2258,16,5310,68
2011,"DHB","Hawke's Bay","agegrp1","40+",85,2258,3.8,5670,15
2011,"DHB","Hawke's Bay","agegrp1","<20",189,2258,8.4,5220,36.2
2011,"DHB","Hutt Valley","agegrp1","20-24",340,2061,16.5,4560,74.6
2011,"DHB","Hutt Valley","agegrp1","25-29",511,2061,24.8,4420,115.6
2011,"DHB","Hutt Valley","agegrp1","30-34",607,2061,29.5,4690,129.4
2011,"DHB","Hutt Valley","agegrp1","35-39",372,2061,18,5310,70.1
2011,"DHB","Hutt Valley","agegrp1","40+",90,2061,4.4,5680,15.8
2011,"DHB","Hutt Valley","agegrp1","<20",141,2061,6.8,5000,28.2
2011,"DHB","Lakes","agegrp1","20-24",400,1592,25.1,3110,128.6
2011,"DHB","Lakes","agegrp1","25-29",392,1592,24.6,2940,133.3
2011,"DHB","Lakes","agegrp1","30-34",368,1592,23.1,3120,117.9
2011,"DHB","Lakes","agegrp1","35-39",220,1592,13.8,3480,63.2
2011,"DHB","Lakes","agegrp1","40+",51,1592,3.2,3820,13.4
2011,"DHB","Lakes","agegrp1","<20",161,1592,10.1,3530,45.6
2011,"DHB","MidCentral","agegrp1","20-24",543,2300,23.6,6290,86.3
2011,"DHB","MidCentral","agegrp1","25-29",613,2300,26.7,5010,122.4
2011,"DHB","MidCentral","agegrp1","30-34",571,2300,24.8,4790,119.2
2011,"DHB","MidCentral","agegrp1","35-39",310,2300,13.5,5350,57.9
2011,"DHB","MidCentral","agegrp1","40+",93,2300,4,5780,16.1
2011,"DHB","MidCentral","agegrp1","<20",170,2300,7.4,6300,27
2011,"DHB","Nelson Marlborough","agegrp1","20-24",325,1650,19.7,3270,99.4
2011,"DHB","Nelson Marlborough","agegrp1","25-29",415,1650,25.2,3350,123.9
2011,"DHB","Nelson Marlborough","agegrp1","30-34",460,1650,27.9,3750,122.7
2011,"DHB","Nelson Marlborough","agegrp1","35-39",306,1650,18.5,4720,64.8
2011,"DHB","Nelson Marlborough","agegrp1","40+",56,1650,3.4,5380,10.4
2011,"DHB","Nelson Marlborough","agegrp1","<20",88,1650,5.3,4000,22
2011,"DHB","Northland","agegrp1","20-24",589,2308,25.5,4170,141.2
2011,"DHB","Northland","agegrp1","25-29",572,2308,24.8,3840,149
2011,"DHB","Northland","agegrp1","30-34",478,2308,20.7,3940,121.3
2011,"DHB","Northland","agegrp1","35-39",321,2308,13.9,4970,64.6
2011,"DHB","Northland","agegrp1","40+",87,2308,3.8,5740,15.2
2011,"DHB","Northland","agegrp1","<20",261,2308,11.3,5460,47.8
2011,"DHB","South Canterbury","agegrp1","20-24",117,573,20.4,1340,87.3
2011,"DHB","South Canterbury","agegrp1","25-29",145,573,25.3,1280,113.3
2011,"DHB","South Canterbury","agegrp1","30-34",177,573,30.9,1390,127.3
2011,"DHB","South Canterbury","agegrp1","35-39",84,573,14.7,1750,48
2011,"DHB","South Canterbury","agegrp1","40+",14,573,2.4,2040,6.9
2011,"DHB","South Canterbury","agegrp1","<20",36,573,6.3,1720,20.9
2011,"DHB","Southern","agegrp1","20-24",660,3679,17.9,12210,54.1
2011,"DHB","Southern","agegrp1","25-29",984,3679,26.7,9060,108.6
2011,"DHB","Southern","agegrp1","30-34",1092,3679,29.7,9160,119.2
2011,"DHB","Southern","agegrp1","35-39",603,3679,16.4,10080,59.8
2011,"DHB","Southern","agegrp1","40+",149,3679,4.1,10810,13.8
2011,"DHB","Southern","agegrp1","<20",191,3679,5.2,11510,16.6
2011,"DHB","Tairawhiti","agegrp1","20-24",192,740,25.9,1500,128
2011,"DHB","Tairawhiti","agegrp1","25-29",184,740,24.9,1300,141.5
2011,"DHB","Tairawhiti","agegrp1","30-34",170,740,23,1350,125.9
2011,"DHB","Tairawhiti","agegrp1","35-39",79,740,10.7,1540,51.3
2011,"DHB","Tairawhiti","agegrp1","40+",30,740,4.1,1650,18.2
2011,"DHB","Tairawhiti","agegrp1","<20",85,740,11.5,1710,49.7
2011,"DHB","Taranaki","agegrp1","20-24",330,1567,21.1,3290,100.3
2011,"DHB","Taranaki","agegrp1","25-29",472,1567,30.1,3090,152.8
2011,"DHB","Taranaki","agegrp1","30-34",380,1567,24.3,3290,115.5
2011,"DHB","Taranaki","agegrp1","35-39",222,1567,14.2,3810,58.3
2011,"DHB","Taranaki","agegrp1","40+",54,1567,3.4,4050,13.3
2011,"DHB","Taranaki","agegrp1","<20",109,1567,7,3510,31.1
2011,"DHB","Unknown","agegrp1","20-24",67,352,NA,NA,NA
2011,"DHB","Unknown","agegrp1","25-29",73,352,NA,NA,NA
2011,"DHB","Unknown","agegrp1","30-34",87,352,NA,NA,NA
2011,"DHB","Unknown","agegrp1","35-39",52,352,NA,NA,NA
2011,"DHB","Unknown","agegrp1","40+",49,352,NA,NA,NA
2011,"DHB","Unknown","agegrp1","<20",24,352,NA,NA,NA
2011,"DHB","Waikato","agegrp1","20-24",1269,5388,23.6,13340,95.1
2011,"DHB","Waikato","agegrp1","25-29",1478,5388,27.4,11380,129.9
2011,"DHB","Waikato","agegrp1","30-34",1293,5388,24,11200,115.4
2011,"DHB","Waikato","agegrp1","35-39",717,5388,13.3,12230,58.6
2011,"DHB","Waikato","agegrp1","40+",206,5388,3.8,13430,15.3
2011,"DHB","Waikato","agegrp1","<20",425,5388,7.9,13210,32.2
2011,"DHB","Wairarapa","agegrp1","20-24",121,530,22.8,990,122.2
2011,"DHB","Wairarapa","agegrp1","25-29",116,530,21.9,910,127.5
2011,"DHB","Wairarapa","agegrp1","30-34",155,530,29.2,1060,146.2
2011,"DHB","Wairarapa","agegrp1","35-39",84,530,15.8,1280,65.6
2011,"DHB","Wairarapa","agegrp1","40+",16,530,3,1520,10.5
2011,"DHB","Wairarapa","agegrp1","<20",38,530,7.2,1290,29.5
2011,"DHB","Waitemata","agegrp1","20-24",1177,7898,14.9,17650,66.7
2011,"DHB","Waitemata","agegrp1","25-29",1955,7898,24.8,17940,109
2011,"DHB","Waitemata","agegrp1","30-34",2498,7898,31.6,18170,137.5
2011,"DHB","Waitemata","agegrp1","35-39",1546,7898,19.6,20310,76.1
2011,"DHB","Waitemata","agegrp1","40+",350,7898,4.4,22290,15.7
2011,"DHB","Waitemata","agegrp1","<20",372,7898,4.7,19340,19.2
2011,"DHB","West Coast","agegrp1","20-24",85,410,20.7,860,98.8
2011,"DHB","West Coast","agegrp1","25-29",103,410,25.1,800,128.8
2011,"DHB","West Coast","agegrp1","30-34",102,410,24.9,950,107.4
2011,"DHB","West Coast","agegrp1","35-39",73,410,17.8,1100,66.4
2011,"DHB","West Coast","agegrp1","40+",15,410,3.7,1260,11.9
2011,"DHB","West Coast","agegrp1","<20",32,410,7.8,1010,31.7
2011,"DHB","Whanganui","agegrp1","20-24",220,833,26.4,1790,122.9
2011,"DHB","Whanganui","agegrp1","25-29",203,833,24.4,1610,126.1
2011,"DHB","Whanganui","agegrp1","30-34",178,833,21.4,1570,113.4
2011,"DHB","Whanganui","agegrp1","35-39",111,833,13.3,1900,58.4
2011,"DHB","Whanganui","agegrp1","40+",33,833,4,2140,15.4
2011,"DHB","Whanganui","agegrp1","<20",88,833,10.6,2100,41.9
2012,"DHB","Auckland","agegrp1","20-24",807,6721,12,21130,38.2
2012,"DHB","Auckland","agegrp1","25-29",1542,6721,22.9,20930,73.7
2012,"DHB","Auckland","agegrp1","30-34",2219,6721,33,19000,116.8
2012,"DHB","Auckland","agegrp1","35-39",1540,6721,22.9,17300,89
2012,"DHB","Auckland","agegrp1","40+",406,6721,6,17610,23.1
2012,"DHB","Auckland","agegrp1","<20",207,6721,3.1,15700,13.2
2012,"DHB","Bay of Plenty","agegrp1","20-24",642,2980,21.5,5700,112.6
2012,"DHB","Bay of Plenty","agegrp1","25-29",782,2980,26.2,5400,144.8
2012,"DHB","Bay of Plenty","agegrp1","30-34",733,2980,24.6,5740,127.7
2012,"DHB","Bay of Plenty","agegrp1","35-39",421,2980,14.1,6800,61.9
2012,"DHB","Bay of Plenty","agegrp1","40+",110,2980,3.7,7800,14.1
2012,"DHB","Bay of Plenty","agegrp1","<20",292,2980,9.8,6690,43.6
2012,"DHB","Canterbury","agegrp1","20-24",945,6004,15.7,16990,55.6
2012,"DHB","Canterbury","agegrp1","25-29",1572,6004,26.2,15150,103.8
2012,"DHB","Canterbury","agegrp1","30-34",1879,6004,31.3,15190,123.7
2012,"DHB","Canterbury","agegrp1","35-39",1078,6004,18,16750,64.4
2012,"DHB","Canterbury","agegrp1","40+",253,6004,4.2,19120,13.2
2012,"DHB","Canterbury","agegrp1","<20",277,6004,4.6,16090,17.2
2012,"DHB","Capital & Coast","agegrp1","20-24",468,3881,12.1,13120,35.7
2012,"DHB","Capital & Coast","agegrp1","25-29",823,3881,21.2,11240,73.2
2012,"DHB","Capital & Coast","agegrp1","30-34",1255,3881,32.3,10870,115.5
2012,"DHB","Capital & Coast","agegrp1","35-39",926,3881,23.9,11100,83.4
2012,"DHB","Capital & Coast","agegrp1","40+",246,3881,6.3,11680,21.1
2012,"DHB","Capital & Coast","agegrp1","<20",163,3881,4.2,10630,15.3
2012,"DHB","Counties Manukau","agegrp1","20-24",1967,8799,22.4,17930,109.7
2012,"DHB","Counties Manukau","agegrp1","25-29",2409,8799,27.4,16940,142.2
2012,"DHB","Counties Manukau","agegrp1","30-34",2213,8799,25.2,16590,133.4
2012,"DHB","Counties Manukau","agegrp1","35-39",1160,8799,13.2,17000,68.2
2012,"DHB","Counties Manukau","agegrp1","40+",344,8799,3.9,18830,18.3
2012,"DHB","Counties Manukau","agegrp1","<20",706,8799,8,19590,36
2012,"DHB","Hawke's Bay","agegrp1","20-24",560,2258,24.8,4470,125.3
2012,"DHB","Hawke's Bay","agegrp1","25-29",534,2258,23.6,3920,136.2
2012,"DHB","Hawke's Bay","agegrp1","30-34",543,2258,24,4200,129.3
2012,"DHB","Hawke's Bay","agegrp1","35-39",360,2258,15.9,5080,70.9
2012,"DHB","Hawke's Bay","agegrp1","40+",79,2258,3.5,5760,13.7
2012,"DHB","Hawke's Bay","agegrp1","<20",182,2258,8.1,5170,35.2
2012,"DHB","Hutt Valley","agegrp1","20-24",393,2016,19.5,4540,86.6
2012,"DHB","Hutt Valley","agegrp1","25-29",497,2016,24.7,4350,114.3
2012,"DHB","Hutt Valley","agegrp1","30-34",595,2016,29.5,4710,126.3
2012,"DHB","Hutt Valley","agegrp1","35-39",328,2016,16.3,5150,63.7
2012,"DHB","Hutt Valley","agegrp1","40+",82,2016,4.1,5630,14.6
2012,"DHB","Hutt Valley","agegrp1","<20",121,2016,6,4880,24.8
2012,"DHB","Lakes","agegrp1","20-24",413,1559,26.5,3090,133.7
2012,"DHB","Lakes","agegrp1","25-29",407,1559,26.1,2990,136.1
2012,"DHB","Lakes","agegrp1","30-34",340,1559,21.8,3070,110.7
2012,"DHB","Lakes","agegrp1","35-39",204,1559,13.1,3390,60.2
2012,"DHB","Lakes","agegrp1","40+",52,1559,3.3,3770,13.8
2012,"DHB","Lakes","agegrp1","<20",143,1559,9.2,3470,41.2
2012,"DHB","MidCentral","agegrp1","20-24",510,2158,23.6,6340,80.4
2012,"DHB","MidCentral","agegrp1","25-29",617,2158,28.6,5050,122.2
2012,"DHB","MidCentral","agegrp1","30-34",506,2158,23.4,4810,105.2
2012,"DHB","MidCentral","agegrp1","35-39",274,2158,12.7,5080,53.9
2012,"DHB","MidCentral","agegrp1","40+",79,2158,3.7,5830,13.6
2012,"DHB","MidCentral","agegrp1","<20",172,2158,8,6280,27.4
2012,"DHB","Nelson Marlborough","agegrp1","20-24",242,1531,15.8,3200,75.6
2012,"DHB","Nelson Marlborough","agegrp1","25-29",408,1531,26.6,3380,120.7
2012,"DHB","Nelson Marlborough","agegrp1","30-34",462,1531,30.2,3710,124.5
2012,"DHB","Nelson Marlborough","agegrp1","35-39",284,1531,18.5,4510,63
2012,"DHB","Nelson Marlborough","agegrp1","40+",62,1531,4,5390,11.5
2012,"DHB","Nelson Marlborough","agegrp1","<20",73,1531,4.8,3970,18.4
2012,"DHB","Northland","agegrp1","20-24",611,2300,26.6,4230,144.4
2012,"DHB","Northland","agegrp1","25-29",563,2300,24.5,3830,147
2012,"DHB","Northland","agegrp1","30-34",475,2300,20.7,3880,122.4
2012,"DHB","Northland","agegrp1","35-39",315,2300,13.7,4830,65.2
2012,"DHB","Northland","agegrp1","40+",84,2300,3.7,5680,14.8
2012,"DHB","Northland","agegrp1","<20",252,2300,11,5370,46.9
2012,"DHB","South Canterbury","agegrp1","20-24",135,648,20.8,1370,98.5
2012,"DHB","South Canterbury","agegrp1","25-29",174,648,26.9,1290,134.9
2012,"DHB","South Canterbury","agegrp1","30-34",185,648,28.5,1400,132.1
2012,"DHB","South Canterbury","agegrp1","35-39",98,648,15.1,1690,58
2012,"DHB","South Canterbury","agegrp1","40+",19,648,2.9,2040,9.3
2012,"DHB","South Canterbury","agegrp1","<20",37,648,5.7,1690,21.9
2012,"DHB","Southern","agegrp1","20-24",573,3598,15.9,12270,46.7
2012,"DHB","Southern","agegrp1","25-29",928,3598,25.8,8900,104.3
2012,"DHB","Southern","agegrp1","30-34",1111,3598,30.9,9190,120.9
2012,"DHB","Southern","agegrp1","35-39",636,3598,17.7,9660,65.8
2012,"DHB","Southern","agegrp1","40+",161,3598,4.5,10880,14.8
2012,"DHB","Southern","agegrp1","<20",189,3598,5.3,11530,16.4
2012,"DHB","Tairawhiti","agegrp1","20-24",191,735,26,1460,130.8
2012,"DHB","Tairawhiti","agegrp1","25-29",193,735,26.3,1350,143
2012,"DHB","Tairawhiti","agegrp1","30-34",158,735,21.5,1350,117
2012,"DHB","Tairawhiti","agegrp1","35-39",94,735,12.8,1470,63.9
2012,"DHB","Tairawhiti","agegrp1","40+",22,735,3,1670,13.2
2012,"DHB","Tairawhiti","agegrp1","<20",77,735,10.5,1700,45.3
2012,"DHB","Taranaki","agegrp1","20-24",311,1562,19.9,3280,94.8
2012,"DHB","Taranaki","agegrp1","25-29",449,1562,28.7,3150,142.5
2012,"DHB","Taranaki","agegrp1","30-34",412,1562,26.4,3220,128
2012,"DHB","Taranaki","agegrp1","35-39",232,1562,14.9,3750,61.9
2012,"DHB","Taranaki","agegrp1","40+",53,1562,3.4,4060,13.1
2012,"DHB","Taranaki","agegrp1","<20",105,1562,6.7,3470,30.3
2012,"DHB","Unknown","agegrp1","20-24",50,322,NA,NA,NA
2012,"DHB","Unknown","agegrp1","25-29",58,322,NA,NA,NA
2012,"DHB","Unknown","agegrp1","30-34",88,322,NA,NA,NA
2012,"DHB","Unknown","agegrp1","35-39",64,322,NA,NA,NA
2012,"DHB","Unknown","agegrp1","40+",45,322,NA,NA,NA
2012,"DHB","Unknown","agegrp1","<20",17,322,NA,NA,NA
2012,"DHB","Waikato","agegrp1","20-24",1200,5495,21.8,13460,89.2
2012,"DHB","Waikato","agegrp1","25-29",1552,5495,28.2,11560,134.3
2012,"DHB","Waikato","agegrp1","30-34",1379,5495,25.1,11280,122.3
2012,"DHB","Waikato","agegrp1","35-39",748,5495,13.6,11850,63.1
2012,"DHB","Waikato","agegrp1","40+",173,5495,3.1,13480,12.8
2012,"DHB","Waikato","agegrp1","<20",443,5495,8.1,13120,33.8
2012,"DHB","Wairarapa","agegrp1","20-24",110,510,21.6,1010,108.9
2012,"DHB","Wairarapa","agegrp1","25-29",138,510,27.1,900,153.3
2012,"DHB","Wairarapa","agegrp1","30-34",129,510,25.3,1050,122.9
2012,"DHB","Wairarapa","agegrp1","35-39",64,510,12.5,1230,52
2012,"DHB","Wairarapa","agegrp1","40+",26,510,5.1,1550,16.8
2012,"DHB","Wairarapa","agegrp1","<20",43,510,8.4,1320,32.6
2012,"DHB","Waitemata","agegrp1","20-24",1091,8000,13.6,18080,60.3
2012,"DHB","Waitemata","agegrp1","25-29",2103,8000,26.3,17860,117.7
2012,"DHB","Waitemata","agegrp1","30-34",2623,8000,32.8,18530,141.6
2012,"DHB","Waitemata","agegrp1","35-39",1492,8000,18.6,19680,75.8
2012,"DHB","Waitemata","agegrp1","40+",394,8000,4.9,22600,17.4
2012,"DHB","Waitemata","agegrp1","<20",297,8000,3.7,19310,15.4
2012,"DHB","West Coast","agegrp1","20-24",88,410,21.5,870,101.1
2012,"DHB","West Coast","agegrp1","25-29",91,410,22.2,810,112.3
2012,"DHB","West Coast","agegrp1","30-34",101,410,24.6,930,108.6
2012,"DHB","West Coast","agegrp1","35-39",72,410,17.6,1040,69.2
2012,"DHB","West Coast","agegrp1","40+",19,410,4.6,1250,15.2
2012,"DHB","West Coast","agegrp1","<20",39,410,9.5,970,40.2
2012,"DHB","Whanganui","agegrp1","20-24",243,876,27.7,1770,137.3
2012,"DHB","Whanganui","agegrp1","25-29",213,876,24.3,1580,134.8
2012,"DHB","Whanganui","agegrp1","30-34",182,876,20.8,1560,116.7
2012,"DHB","Whanganui","agegrp1","35-39",99,876,11.3,1780,55.6
2012,"DHB","Whanganui","agegrp1","40+",37,876,4.2,2100,17.6
2012,"DHB","Whanganui","agegrp1","<20",102,876,11.6,2050,49.8
2013,"DHB","Auckland","agegrp1","20-24",735,6257,11.7,21650,33.9
2013,"DHB","Auckland","agegrp1","25-29",1430,6257,22.9,21400,66.8
2013,"DHB","Auckland","agegrp1","30-34",2123,6257,33.9,19380,109.5
